date,variable,value
2019-01-13,kiralık ev,43
2019-01-20,kiralık ev,46
2019-01-27,kiralık ev,49
2019-02-03,kiralık ev,53
2019-02-10,kiralık ev,49
2019-02-17,kiralık ev,54
2019-02-24,kiralık ev,48
2019-03-03,kiralık ev,48
2019-03-10,kiralık ev,46
2019-03-17,kiralık ev,49
2019-03-24,kiralık ev,49
2019-03-31,kiralık ev,44
2019-04-07,kiralık ev,51
2019-04-14,kiralık ev,53
2019-04-21,kiralık ev,51
2019-04-28,kiralık ev,54
2019-05-05,kiralık ev,46
2019-05-12,kiralık ev,57
2019-05-19,kiralık ev,60
2019-05-26,kiralık ev,59
2019-06-02,kiralık ev,77
2019-06-09,kiralık ev,77
2019-06-16,kiralık ev,77
2019-06-23,kiralık ev,83
2019-06-30,kiralık ev,91
2019-07-07,kiralık ev,90
2019-07-14,kiralık ev,84
2019-07-21,kiralık ev,89
2019-07-28,kiralık ev,83
2019-08-04,kiralık ev,83
2019-08-11,kiralık ev,91
2019-08-18,kiralık ev,86
2019-08-25,kiralık ev,84
2019-09-01,kiralık ev,77
2019-09-08,kiralık ev,68
2019-09-15,kiralık ev,61
2019-09-22,kiralık ev,56
2019-09-29,kiralık ev,58
2019-10-06,kiralık ev,53
2019-10-13,kiralık ev,51
2019-10-20,kiralık ev,49
2019-10-27,kiralık ev,48
2019-11-03,kiralık ev,47
2019-11-10,kiralık ev,47
2019-11-17,kiralık ev,46
2019-11-24,kiralık ev,44
2019-12-01,kiralık ev,45
2019-12-08,kiralık ev,45
2019-12-15,kiralık ev,47
2019-12-22,kiralık ev,45
2019-12-29,kiralık ev,45
2020-01-05,kiralık ev,48
2020-01-12,kiralık ev,49
2020-01-19,kiralık ev,49
2020-01-26,kiralık ev,56
2020-02-02,kiralık ev,55
2020-02-09,kiralık ev,50
2020-02-16,kiralık ev,55
2020-02-23,kiralık ev,48
2020-03-01,kiralık ev,55
2020-03-08,kiralık ev,51
2020-03-15,kiralık ev,41
2020-03-22,kiralık ev,37
2020-03-29,kiralık ev,33
2020-04-05,kiralık ev,35
2020-04-12,kiralık ev,39
2020-04-19,kiralık ev,40
2020-04-26,kiralık ev,45
2020-05-03,kiralık ev,49
2020-05-10,kiralık ev,58
2020-05-17,kiralık ev,62
2020-05-24,kiralık ev,71
2020-05-31,kiralık ev,79
2020-06-07,kiralık ev,83
2020-06-14,kiralık ev,84
2020-06-21,kiralık ev,86
2020-06-28,kiralık ev,99
2020-07-05,kiralık ev,98
2020-07-12,kiralık ev,97
2020-07-19,kiralık ev,95
2020-07-26,kiralık ev,93
2020-08-02,kiralık ev,100
2020-08-09,kiralık ev,96
2020-08-16,kiralık ev,84
2020-08-23,kiralık ev,91
2020-08-30,kiralık ev,75
2020-09-06,kiralık ev,67
2020-09-13,kiralık ev,66
2020-09-20,kiralık ev,61
2020-09-27,kiralık ev,59
2015-10-11,google,98
2015-10-18,google,98
2015-10-25,google,100
2015-11-01,google,96
2015-11-08,google,97
2015-11-15,google,96
2015-11-22,google,95
2015-11-29,google,95
2015-12-06,google,98
2015-12-13,google,98
2015-12-20,google,97
2015-12-27,google,95
2016-01-03,google,91
2016-01-10,google,87
2016-01-17,google,86
2016-01-24,google,88
2016-01-31,google,89
2016-02-07,google,87
2016-02-14,google,88
2016-02-21,google,88
2016-02-28,google,87
2016-03-06,google,86
2016-03-13,google,84
2016-03-20,google,86
2016-03-27,google,85
2016-04-03,google,83
2016-04-10,google,82
2016-04-17,google,84
2016-04-24,google,83
2016-05-01,google,79
2016-05-08,google,80
2016-05-15,google,77
2016-05-22,google,75
2016-05-29,google,75
2016-06-05,google,73
2016-06-12,google,77
2016-06-19,google,75
2016-06-26,google,78
2016-07-03,google,84
2016-07-10,google,77
2016-07-17,google,77
2016-07-24,google,76
2016-07-31,google,74
2016-08-07,google,75
2016-08-14,google,75
2016-08-21,google,71
2016-08-28,google,71
2016-09-04,google,69
2016-09-11,google,76
2016-09-18,google,72
2016-09-25,google,73
2016-10-02,google,73
2016-10-09,google,72
2016-10-16,google,72
2016-10-23,google,71
2016-10-30,google,72
2016-11-06,google,69
2016-11-13,google,69
2016-11-20,google,68
2016-11-27,google,67
2016-12-04,google,66
2016-12-11,google,66
2016-12-18,google,68
2016-12-25,google,66
2017-01-01,google,64
2017-01-08,google,62
2017-01-15,google,64
2017-01-22,google,64
2017-01-29,google,62
2017-02-05,google,63
2017-02-12,google,65
2017-02-19,google,66
2017-02-26,google,64
2017-03-05,google,63
2017-03-12,google,62
2017-03-19,google,63
2017-03-26,google,61
2017-04-02,google,61
2017-04-09,google,59
2017-04-16,google,60
2017-04-23,google,63
2017-04-30,google,64
2017-05-07,google,63
2017-05-14,google,62
2017-05-21,google,60
2017-05-28,google,58
2017-06-04,google,58
2017-06-11,google,57
2017-06-18,google,59
2017-06-25,google,62
2017-07-02,google,61
2017-07-09,google,63
2017-07-16,google,61
2017-07-23,google,62
2017-07-30,google,60
2017-08-06,google,59
2017-08-13,google,58
2017-08-20,google,58
2017-08-27,google,59
2017-09-03,google,57
2017-09-10,google,56
2017-09-17,google,58
2017-09-24,google,59
2017-10-01,google,60
2017-10-08,google,60
2017-10-15,google,60
2017-10-22,google,58
2017-10-29,google,58
2017-11-05,google,58
2017-11-12,google,57
2017-11-19,google,56
2017-11-26,google,56
2017-12-03,google,57
2017-12-10,google,56
2017-12-17,google,56
2017-12-24,google,54
2017-12-31,google,54
2018-01-07,google,53
2018-01-14,google,52
2018-01-21,google,53
2018-01-28,google,53
2018-02-04,google,53
2018-02-11,google,53
2018-02-18,google,53
2018-02-25,google,52
2018-03-04,google,52
2018-03-11,google,51
2018-03-18,google,51
2018-03-25,google,52
2018-04-01,google,50
2018-04-08,google,49
2018-04-15,google,50
2018-04-22,google,50
2018-04-29,google,48
2018-05-06,google,49
2018-05-13,google,47
2018-05-20,google,46
2018-05-27,google,45
2018-06-03,google,44
2018-06-10,google,44
2018-06-17,google,46
2018-06-24,google,43
2018-07-01,google,45
2018-07-08,google,45
2018-07-15,google,46
2018-07-22,google,46
2018-07-29,google,45
2018-08-05,google,44
2018-08-12,google,42
2018-08-19,google,46
2018-08-26,google,44
2018-09-02,google,44
2018-09-09,google,45
2018-09-16,google,46
2018-09-23,google,47
2018-09-30,google,47
2018-10-07,google,48
2018-10-14,google,46
2018-10-21,google,46
2018-10-28,google,46
2018-11-04,google,47
2018-11-11,google,46
2018-11-18,google,45
2018-11-25,google,46
2018-12-02,google,47
2018-12-09,google,45
2018-12-16,google,45
2018-12-23,google,43
2018-12-30,google,42
2019-01-06,google,42
2019-01-13,google,42
2019-01-20,google,43
2019-01-27,google,43
2019-02-03,google,45
2019-02-10,google,45
2019-02-17,google,46
2019-02-24,google,46
2019-03-03,google,45
2019-03-10,google,46
2019-03-17,google,47
2019-03-24,google,45
2019-03-31,google,42
2019-04-07,google,43
2019-04-14,google,44
2019-04-21,google,45
2019-04-28,google,43
2019-05-05,google,40
2019-05-12,google,43
2019-05-19,google,44
2019-05-26,google,42
2019-06-02,google,44
2019-06-09,google,44
2019-06-16,google,45
2019-06-23,google,43
2019-06-30,google,44
2019-07-07,google,44
2019-07-14,google,44
2019-07-21,google,44
2019-07-28,google,44
2019-08-04,google,44
2019-08-11,google,43
2019-08-18,google,44
2019-08-25,google,42
2019-09-01,google,41
2019-09-08,google,44
2019-09-15,google,44
2019-09-22,google,45
2019-09-29,google,44
2019-10-06,google,45
2019-10-13,google,44
2019-10-20,google,44
2019-10-27,google,44
2019-11-03,google,43
2019-11-10,google,42
2019-11-17,google,43
2019-11-24,google,43
2019-12-01,google,43
2019-12-08,google,43
2019-12-15,google,46
2019-12-22,google,41
2019-12-29,google,41
2020-01-05,google,41
2020-01-12,google,41
2020-01-19,google,41
2020-01-26,google,40
2020-02-02,google,39
2020-02-09,google,40
2020-02-16,google,40
2020-02-23,google,40
2020-03-01,google,42
2020-03-08,google,42
2020-03-15,google,46
2020-03-22,google,46
2020-03-29,google,46
2020-04-05,google,45
2020-04-12,google,46
2020-04-19,google,45
2020-04-26,google,43
2020-05-03,google,43
2020-05-10,google,44
2020-05-17,google,42
2020-05-24,google,44
2020-05-31,google,43
2020-06-07,google,42
2020-06-14,google,40
2020-06-21,google,41
2020-06-28,google,40
2020-07-05,google,40
2020-07-12,google,39
2020-07-19,google,39
2020-07-26,google,40
2020-08-02,google,40
2020-08-09,google,39
2020-08-16,google,39
2020-08-23,google,40
2020-08-30,google,41
2020-09-06,google,41
2020-09-13,google,41
2020-09-20,google,42
2020-09-27,google,51
2015-10-11,spor ayakkabı,22
2015-10-18,spor ayakkabı,20
2015-10-25,spor ayakkabı,20
2015-11-01,spor ayakkabı,19
2015-11-08,spor ayakkabı,19
2015-11-15,spor ayakkabı,17
2015-11-22,spor ayakkabı,19
2015-11-29,spor ayakkabı,17
2015-12-06,spor ayakkabı,17
2015-12-13,spor ayakkabı,17
2015-12-20,spor ayakkabı,17
2015-12-27,spor ayakkabı,15
2016-01-03,spor ayakkabı,16
2016-01-10,spor ayakkabı,16
2016-01-17,spor ayakkabı,16
2016-01-24,spor ayakkabı,17
2016-01-31,spor ayakkabı,25
2016-02-07,spor ayakkabı,31
2016-02-14,spor ayakkabı,43
2016-02-21,spor ayakkabı,42
2016-02-28,spor ayakkabı,49
2016-03-06,spor ayakkabı,48
2016-03-13,spor ayakkabı,39
2016-03-20,spor ayakkabı,41
2016-03-27,spor ayakkabı,45
2016-04-03,spor ayakkabı,52
2016-04-10,spor ayakkabı,50
2016-04-17,spor ayakkabı,48
2016-04-24,spor ayakkabı,41
2016-05-01,spor ayakkabı,39
2016-05-08,spor ayakkabı,38
2016-05-15,spor ayakkabı,32
2016-05-22,spor ayakkabı,29
2016-05-29,spor ayakkabı,28
2016-06-05,spor ayakkabı,26
2016-06-12,spor ayakkabı,29
2016-06-19,spor ayakkabı,28
2016-06-26,spor ayakkabı,28
2016-07-03,spor ayakkabı,24
2016-07-10,spor ayakkabı,19
2016-07-17,spor ayakkabı,17
2016-07-24,spor ayakkabı,20
2016-07-31,spor ayakkabı,22
2016-08-07,spor ayakkabı,21
2016-08-14,spor ayakkabı,24
2016-08-21,spor ayakkabı,26
2016-08-28,spor ayakkabı,30
2016-09-04,spor ayakkabı,37
2016-09-11,spor ayakkabı,35
2016-09-18,spor ayakkabı,31
2016-09-25,spor ayakkabı,27
2016-10-02,spor ayakkabı,27
2016-10-09,spor ayakkabı,29
2016-10-16,spor ayakkabı,25
2016-10-23,spor ayakkabı,24
2016-10-30,spor ayakkabı,21
2016-11-06,spor ayakkabı,23
2016-11-13,spor ayakkabı,20
2016-11-20,spor ayakkabı,20
2016-11-27,spor ayakkabı,18
2016-12-04,spor ayakkabı,15
2016-12-11,spor ayakkabı,15
2016-12-18,spor ayakkabı,15
2016-12-25,spor ayakkabı,14
2017-01-01,spor ayakkabı,14
2017-01-08,spor ayakkabı,16
2017-01-15,spor ayakkabı,18
2017-01-22,spor ayakkabı,23
2017-01-29,spor ayakkabı,23
2017-02-05,spor ayakkabı,33
2017-02-12,spor ayakkabı,38
2017-02-19,spor ayakkabı,53
2017-02-26,spor ayakkabı,54
2017-03-05,spor ayakkabı,60
2017-03-12,spor ayakkabı,48
2017-03-19,spor ayakkabı,54
2017-03-26,spor ayakkabı,55
2017-04-02,spor ayakkabı,57
2017-04-09,spor ayakkabı,55
2017-04-16,spor ayakkabı,51
2017-04-23,spor ayakkabı,48
2017-04-30,spor ayakkabı,50
2017-05-07,spor ayakkabı,47
2017-05-14,spor ayakkabı,41
2017-05-21,spor ayakkabı,35
2017-05-28,spor ayakkabı,35
2017-06-04,spor ayakkabı,38
2017-06-11,spor ayakkabı,40
2017-06-18,spor ayakkabı,40
2017-06-25,spor ayakkabı,25
2017-07-02,spor ayakkabı,26
2017-07-09,spor ayakkabı,24
2017-07-16,spor ayakkabı,24
2017-07-23,spor ayakkabı,24
2017-07-30,spor ayakkabı,28
2017-08-06,spor ayakkabı,25
2017-08-13,spor ayakkabı,29
2017-08-20,spor ayakkabı,37
2017-08-27,spor ayakkabı,38
2017-09-03,spor ayakkabı,35
2017-09-10,spor ayakkabı,41
2017-09-17,spor ayakkabı,34
2017-09-24,spor ayakkabı,36
2017-10-01,spor ayakkabı,35
2017-10-08,spor ayakkabı,35
2017-10-15,spor ayakkabı,32
2017-10-22,spor ayakkabı,31
2017-10-29,spor ayakkabı,26
2017-11-05,spor ayakkabı,26
2017-11-12,spor ayakkabı,27
2017-11-19,spor ayakkabı,27
2017-11-26,spor ayakkabı,23
2017-12-03,spor ayakkabı,22
2017-12-10,spor ayakkabı,24
2017-12-17,spor ayakkabı,23
2017-12-24,spor ayakkabı,22
2017-12-31,spor ayakkabı,25
2018-01-07,spor ayakkabı,28
2018-01-14,spor ayakkabı,27
2018-01-21,spor ayakkabı,27
2018-01-28,spor ayakkabı,33
2018-02-04,spor ayakkabı,42
2018-02-11,spor ayakkabı,42
2018-02-18,spor ayakkabı,50
2018-02-25,spor ayakkabı,46
2018-03-04,spor ayakkabı,56
2018-03-11,spor ayakkabı,77
2018-03-18,spor ayakkabı,80
2018-03-25,spor ayakkabı,78
2018-04-01,spor ayakkabı,84
2018-04-08,spor ayakkabı,77
2018-04-15,spor ayakkabı,73
2018-04-22,spor ayakkabı,67
2018-04-29,spor ayakkabı,60
2018-05-06,spor ayakkabı,53
2018-05-13,spor ayakkabı,49
2018-05-20,spor ayakkabı,43
2018-05-27,spor ayakkabı,46
2018-06-03,spor ayakkabı,48
2018-06-10,spor ayakkabı,50
2018-06-17,spor ayakkabı,37
2018-06-24,spor ayakkabı,30
2018-07-01,spor ayakkabı,32
2018-07-08,spor ayakkabı,33
2018-07-15,spor ayakkabı,33
2018-07-22,spor ayakkabı,33
2018-07-29,spor ayakkabı,33
2018-08-05,spor ayakkabı,35
2018-08-12,spor ayakkabı,34
2018-08-19,spor ayakkabı,35
2018-08-26,spor ayakkabı,34
2018-09-02,spor ayakkabı,40
2018-09-09,spor ayakkabı,51
2018-09-16,spor ayakkabı,45
2018-09-23,spor ayakkabı,42
2018-09-30,spor ayakkabı,41
2018-10-07,spor ayakkabı,43
2018-10-14,spor ayakkabı,42
2018-10-21,spor ayakkabı,38
2018-10-28,spor ayakkabı,36
2018-11-04,spor ayakkabı,37
2018-11-11,spor ayakkabı,34
2018-11-18,spor ayakkabı,36
2018-11-25,spor ayakkabı,29
2018-12-02,spor ayakkabı,24
2018-12-09,spor ayakkabı,25
2018-12-16,spor ayakkabı,25
2018-12-23,spor ayakkabı,23
2018-12-30,spor ayakkabı,24
2019-01-06,spor ayakkabı,25
2019-01-13,spor ayakkabı,29
2019-01-20,spor ayakkabı,37
2019-01-27,spor ayakkabı,41
2019-02-03,spor ayakkabı,57
2019-02-10,spor ayakkabı,57
2019-02-17,spor ayakkabı,64
2019-02-24,spor ayakkabı,61
2019-03-03,spor ayakkabı,79
2019-03-10,spor ayakkabı,94
2019-03-17,spor ayakkabı,100
2019-03-24,spor ayakkabı,88
2019-03-31,spor ayakkabı,69
2019-04-07,spor ayakkabı,77
2019-04-14,spor ayakkabı,72
2019-04-21,spor ayakkabı,73
2019-04-28,spor ayakkabı,76
2019-05-05,spor ayakkabı,66
2019-05-12,spor ayakkabı,73
2019-05-19,spor ayakkabı,70
2019-05-26,spor ayakkabı,67
2019-06-02,spor ayakkabı,55
2019-06-09,spor ayakkabı,44
2019-06-16,spor ayakkabı,42
2019-06-23,spor ayakkabı,35
2019-06-30,spor ayakkabı,39
2019-07-07,spor ayakkabı,45
2019-07-14,spor ayakkabı,43
2019-07-21,spor ayakkabı,43
2019-07-28,spor ayakkabı,44
2019-08-04,spor ayakkabı,48
2019-08-11,spor ayakkabı,44
2019-08-18,spor ayakkabı,44
2019-08-25,spor ayakkabı,48
2019-09-01,spor ayakkabı,55
2019-09-08,spor ayakkabı,52
2019-09-15,spor ayakkabı,54
2019-09-22,spor ayakkabı,49
2019-09-29,spor ayakkabı,51
2019-10-06,spor ayakkabı,53
2019-10-13,spor ayakkabı,48
2019-10-20,spor ayakkabı,53
2019-10-27,spor ayakkabı,51
2019-11-03,spor ayakkabı,46
2019-11-10,spor ayakkabı,50
2019-11-17,spor ayakkabı,51
2019-11-24,spor ayakkabı,53
2019-12-01,spor ayakkabı,36
2019-12-08,spor ayakkabı,32
2019-12-15,spor ayakkabı,33
2019-12-22,spor ayakkabı,31
2019-12-29,spor ayakkabı,29
2020-01-05,spor ayakkabı,27
2020-01-12,spor ayakkabı,36
2020-01-19,spor ayakkabı,34
2020-01-26,spor ayakkabı,42
2020-02-02,spor ayakkabı,46
2020-02-09,spor ayakkabı,50
2020-02-16,spor ayakkabı,62
2020-02-23,spor ayakkabı,66
2020-03-01,spor ayakkabı,87
2020-03-08,spor ayakkabı,89
2020-03-15,spor ayakkabı,47
2020-03-22,spor ayakkabı,41
2020-03-29,spor ayakkabı,36
2020-04-05,spor ayakkabı,40
2020-04-12,spor ayakkabı,48
2020-04-19,spor ayakkabı,46
2020-04-26,spor ayakkabı,59
2020-05-03,spor ayakkabı,68
2020-05-10,spor ayakkabı,85
2020-05-17,spor ayakkabı,68
2020-05-24,spor ayakkabı,63
2020-05-31,spor ayakkabı,66
2020-06-07,spor ayakkabı,71
2020-06-14,spor ayakkabı,68
2020-06-21,spor ayakkabı,61
2020-06-28,spor ayakkabı,59
2020-07-05,spor ayakkabı,57
2020-07-12,spor ayakkabı,56
2020-07-19,spor ayakkabı,52
2020-07-26,spor ayakkabı,52
2020-08-02,spor ayakkabı,45
2020-08-09,spor ayakkabı,42
2020-08-16,spor ayakkabı,44
2020-08-23,spor ayakkabı,42
2020-08-30,spor ayakkabı,40
2020-09-06,spor ayakkabı,44
2020-09-13,spor ayakkabı,47
2020-09-20,spor ayakkabı,43
2020-09-27,spor ayakkabı,44